Depth,Overburden,Pore_Pressure,Min_Horizontal_Stress,Max_Horizontal_Stress,Well_inclination,well_azimuth,poissons_ratio,youngs_modulus,friction_angle,shale_content,Output
10080,0.871,0.439,0.86,0.91,8.89,156.22,0.25,0.351,30,0.354,No_Sand
10232,0.881,0.439,0.86,0.91,18.45,156.22,0.25,0.467,30,0.354,No_Sand
10863,0.896,0.439,0.89,0.94,18.45,156.22,0.25,0.584,30,0.354,No_Sand
11414,0.923,0.415,0.89,0.94,18.45,156.22,0.25,0.547,26.5,0.543,No_Sand
11995,0.928,0.47,0.89,0.94,18.45,156.22,0.25,0.598,26.89,0.573,No_Sand
12291,0.928,0.47,0.89,0.94,18.45,156.22,0.25,0.683,26.89,0.573,No_Sand
12544,0.928,0.477,0.89,0.94,18.45,156.22,0.25,0.683,27.13,0.67,No_Sand
13214,0.928,0.465,0.89,0.94,18.45,156.22,0.25,0.683,27.13,0.443,No_Sand
13691,0.928,0.466,0.89,0.94,18.45,156.22,0.25,0.683,27.13,0.6891,No_Sand
14075,0.928,0.466,0.89,0.94,18.45,156.22,0.25,0.683,27.13,0.6891,No_Sand
14200,0.928,0.464,0.89,0.94,18.45,156.22,0.25,0.683,27.89,0.6891,No_Sand
10080,0.871,0.47,0.88,0.93,11.09,115.08,0.25,0.351,30,0.354,No_Sand
10232,0.881,0.47,0.88,0.93,11.09,115.08,0.25,0.467,30,0.354,No_Sand
