Depth,Overburden,Pore_Pressure,Min_Horizontal_Stress,Max_Horizontal_Stress,Well_inclination,well_azimuth,poissons_ratio,youngs_modulus,friction_angle,shale_content,Output
4000,0.822,0.435,0.78,0.83,2.08,156.22,0.25,0.2234,26.77,0.321,Sand 
5243,0.841,0.435,0.78,0.83,2.08,156.22,0.25,0.2234,26.77,0.321,Sand 
7681.4,0.848,0.435,0.78,0.83,8.89,156.22,0.25,0.2234,28.31,0.321,Sand 
8354,0.857,0.435,0.78,0.83,8.89,156.22,0.25,0.334,28.34,0.23,Sand 
9159,0.857,0.436,0.78,0.83,8.89,156.22,0.25,0.334,28.34,0.112,Sand 
9714,0.871,0.439,0.79,0.84,8.89,156.22,0.25,0.334,30,0.112,Sand 
4264.45,0.822,0.439,0.78,0.83,3.08,115.08,0.25,0.2234,26.77,0.321,Sand 
5243,0.841,0.439,0.78,0.83,3.08,115.08,0.25,0.2234,26.77,0.321,Sand 
7681.4,0.848,0.439,0.78,0.83,11.09,115.08,0.25,0.2234,28.31,0.321,Sand 
8118.7,0.857,0.439,0.78,0.83,11.09,115.08,0.25,0.334,28.34,0.23,Sand 
9159,0.857,0.415,0.78,0.83,11.09,115.08,0.25,0.334,28.34,0.112,Sand 
9714,0.871,0.47,0.79,0.84,11.09,115.08,0.25,0.334,30,0.112,Sand 
